paper_id,expected_title,doi,pdf_path,manifest_status,source_used,pdf_url,extracted_title_or_first_text,title_similarity,doi_found_in_pdf,audit_status,reason
REFINE-0001,Down-regulated miR-16-2 in peripheral blood is positively correlated with decreased bilateral insula volume in patients with major depressive disorder,10.1016/j.jad.2023.05.068,data/pdfs/REFINE-0001.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0002,Sex-specific grey matter abnormalities in individuals with chronic insomnia,10.1007/s10072-023-07224-7,data/pdfs/REFINE-0002.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0003,FKBP5 is associated with amygdala volume in the human brain and mood state: A voxel-based morphometry (VBM) study,10.3109/13651501.2016.1144772,data/pdfs/REFINE-0003.pdf,already_exists,already_exists,,FKBP5 is associated with amygdala volume in,100.0,10.3109/13651501.2016.1144772,validated,DOI 10.3109/13651501.2016.1144772 found in PDF matches expected DOI 10.3109/13651501.2016.1144772
REFINE-0004,General and specific effects of early-life psychosocial adversities on adolescent grey matter volume,10.1016/j.nicl.2014.01.001,data/pdfs/REFINE-0004.pdf,downloaded,openalex,https://www.repository.cam.ac.uk/bitstreams/cc1420fa-539e-49cd-b0fe-9521f1ecf370/download,adolescent grey matter volume☆,100.0,10.1016/j.nicl.2014.01.001,validated,DOI 10.1016/j.nicl.2014.01.001 found in PDF matches expected DOI 10.1016/j.nicl.2014.01.001
REFINE-0005,Reduced prefrontal cortical gray matter volume in young adults exposed to harsh corporal punishment,10.1016/j.neuroimage.2009.03.005,data/pdfs/REFINE-0005.pdf,publisher_403,none,http://www.sciencedirect.com/science?_ob=ArticleURL&amp;_udi=B6WNP-4VTKKS6-4&amp;_user=4545557&amp;_coverDate=08%2F31%2F2009&amp;_rdoc=1&amp;_fmt=high&amp;_orig=search&amp;_sort=d&amp;_docanchor=&amp;view=c&amp;_acct=C000008298&amp;_version=1&amp;_urlVersion=0&amp;_userid=4545557&amp;md5=c78064424740a38e312237b2b1da90c2,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0006,Obesity and major depression: Body-mass index (BMI) is associated with a severe course of disease and specific neurostructural alterations,10.1016/j.psyneuen.2014.10.001,data/pdfs/REFINE-0006.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0007,Dissociable morphometric profiles of the affective and cognitive dimensions of alexithymia,10.1016/j.cortex.2014.02.017,data/pdfs/REFINE-0007.pdf,repository_landing_page,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0008,Electroconvulsive therapy increases temporal gray matter volume and cortical thickness,10.1016/j.euroneuro.2015.12.036,data/pdfs/REFINE-0008.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0009,Examining the relationship between gray matter volume and a continuous measure of bipolarity in unmedicated unipolar and bipolar depression,10.1016/j.jad.2020.10.071,data/pdfs/REFINE-0009.pdf,pmc_fulltext_no_pdf,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0010,Subthreshold depression may exist on a spectrum with major depressive disorder: Evidence from gray matter volume and morphological brain network,10.1016/j.jad.2020.01.135,data/pdfs/REFINE-0010.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0011,Neural biomarker of functional disability in major depressive disorder: A structural neuroimaging study,10.1016/j.pnpbp.2021.110337,data/pdfs/REFINE-0011.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0012,Adverse childhood experiences influence the detrimental effect of bipolar disorder and schizophrenia on cortico-limbic grey matter volumes,10.1016/j.jad.2015.09.049,data/pdfs/REFINE-0012.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0013,Neuroanatomical correlates of attitudes toward suicide in a large healthy sample: A voxel-based morphometric analysis,10.1016/j.neuropsychologia.2015.11.012,data/pdfs/REFINE-0013.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0014,Voxel-based morphometry study of the insular cortex in female patients with current and remitted depression,10.1016/j.neuroscience.2013.12.058,data/pdfs/REFINE-0014.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0015,Distinct associations of insula and cingulate volume with the cognitive and affective dimensions of alexithymia,10.1016/j.neuropsychologia.2013.12.006,data/pdfs/REFINE-0015.pdf,repository_landing_page,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0016,The contribution of regional gray/white matter volume in preclinical depression assessed by the Automatic Thoughts Questionnaire: A voxel-based morphometry study,10.1097/wnr.0000000000000222,data/pdfs/REFINE-0016.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0017,Neural correlates of physical activity moderate the association between problematic mobile phone use and psychological symptoms,10.3389/fnbeh.2021.749194,data/pdfs/REFINE-0017.pdf,downloaded,openalex,https://www.frontiersin.org/articles/10.3389/fnbeh.2021.749194/pdf,published: 01 February 2022,30.8,10.3389/fnbeh.2021.749194,validated,DOI 10.3389/fnbeh.2021.749194 found in PDF matches expected DOI 10.3389/fnbeh.2021.749194
REFINE-0018,“Brain morphometric biomarkers distinguishing unipolar and bipolar depression: A voxel-based morphometry–pattern classification approach”: Correction,,data/pdfs/REFINE-0018.pdf,publisher_403,none,https://escholarship.org/uc/item/4pk2j0t7,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0019,Specificity of abnormal brain volume in major depressive disorder: A comparison with borderline personality disorder,10.1016/j.jad.2014.11.059,data/pdfs/REFINE-0019.pdf,publisher_403,none,http://hdl.handle.net/11390/1090686,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0020,The function and structure of precuneus is associated with subjective sleep quality in major depression,10.3389/fpsyt.2021.831524,data/pdfs/REFINE-0020.pdf,downloaded,openalex,https://www.frontiersin.org/articles/10.3389/fpsyt.2021.831524/pdf,published: 08 February 2022,38.5,10.3389/fpsyt.2021.831524,validated,DOI 10.3389/fpsyt.2021.831524 found in PDF matches expected DOI 10.3389/fpsyt.2021.831524
REFINE-0021,Brain structure associated with automatic thoughts predicted depression symptoms in healthy individuals,10.1016/j.pscychresns.2015.03.002,data/pdfs/REFINE-0021.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0022,The reflection of self-esteem on the brain structure: A voxel based morphometry study in healthy young adults,,data/pdfs/REFINE-0022.pdf,invalid_pdf_title_mismatch,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0023,Altered gray matter volumes and plasma IL-6 level in major depressive disorder patients with suicidal ideation,10.1016/j.nicl.2023.103403,data/pdfs/REFINE-0023.pdf,publisher_403,none,https://doaj.org/article/f6ff3d4b3b3a448889f240d8481938c3,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0024,The gray matter volume of the right insula mediates the relationship between symptoms of depression/anxiety and sleep quality among college students,10.1177/1359105319869977,data/pdfs/REFINE-0024.pdf,publisher_403,none,https://doi.org/10.1177/1359105319869977,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0025,Neurostructural correlates of hope: Dispositional hope mediates the impact of the SMA gray matter volume on subjective well-being in late adolescence,10.1093/scan/nsaa046,data/pdfs/REFINE-0025.pdf,publisher_403,none,https://academic.oup.com/scan/article-pdf/15/4/395/33417559/nsaa046.pdf,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0026,Brain morphometry and connectivity differs between adolescent- and adult-onset major depressive disorder,10.1002/da.23254,data/pdfs/REFINE-0026.pdf,publisher_403,none,https://doi.org/10.1002/da.23254,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0027,Insular volume reductions in patients with major depressive disorder,10.1016/j.npbr.2019.06.002,data/pdfs/REFINE-0027.pdf,repository_landing_page,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0028,Shared Transdiagnostic Neuroanatomical Signatures Across First-episode Patients with Major Psychiatric Diseases and Individuals at Familial Risk,10.1016/j.nicl.2022.103074,data/pdfs/REFINE-0028.pdf,publisher_403,none,https://doaj.org/article/76fe14a25aaa4aa7bed20a61aeef7ee0,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0029,Relationship between a BDNF gene polymorphism and the brain volume in treatment-naive patients with major depressive disorder: A VBM analysis of brain MRI,10.1016/j.pscychresns.2015.05.016,data/pdfs/REFINE-0029.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0030,Association of brain cortical changes with relapse in patients with major depressive disorder,10.1001/jamapsychiatry.2018.0123,data/pdfs/REFINE-0030.pdf,publisher_403,none,https://jamanetwork.com/journals/jamapsychiatry/articlepdf/2675371/jamapsychiatry_zaremba_2018_oi_180004.pdf,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0032,Functional and anatomical brain deficits in drug-naive major depressive disorder,10.1016/j.pnpbp.2014.05.008,data/pdfs/REFINE-0032.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0033,Structural abnormalities of cingulate cortex in patients with first‐episode drug‐naïve schizophrenia comorbid with depressive symptoms,10.1002/hbm.25315,data/pdfs/REFINE-0033.pdf,publisher_403,none,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hbm.25315,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0034,"Structural brain abnormalities in women with subclinical depression, as revealed by voxel-based morphometry and diffusion tensor imaging",10.1016/j.jad.2012.10.023,data/pdfs/REFINE-0034.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0036,COMT Val158Met × SLC6A4 5-HTTLPR interaction impacts on gray matter volume of regions supporting emotion processing,10.1093/scan/nst089,data/pdfs/REFINE-0036.pdf,publisher_403,none,https://academic.oup.com/scan/article-pdf/9/8/1232/27110174/nst089.pdf,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0037,The embodied emotion in cerebellum: A neuroimaging study of alexithymia,10.1007/s00429-014-0790-0,data/pdfs/REFINE-0037.pdf,publisher_403,none,http://hdl.handle.net/2108/88172,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0038,Prediction of anxious depression using multimodal neuroimaging and machine learning,10.1016/j.neuroimage.2023.120499,data/pdfs/REFINE-0038.pdf,publisher_403,none,https://doaj.org/article/a9acb6d2c6b8404398a3df4a7436be00,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0040,The role of ventromedial prefrontal cortex volume in the association of expressive suppression and externally oriented thinking,10.1016/j.jad.2017.06.054,data/pdfs/REFINE-0040.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0041,Predicting differential diagnosis between bipolar and unipolar depression with multiple kernel learning on multimodal structural neuroimaging,10.1016/j.euroneuro.2020.03.008,data/pdfs/REFINE-0041.pdf,publisher_403,none,http://hdl.handle.net/11573/1417243,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0044,Hippocampus-driving progressive structural alterations in medication-naïve major depressive disorder,10.1016/j.jad.2019.05.053,data/pdfs/REFINE-0044.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0045,Neurobiological predictors for clinical trajectories in fully remitted depressed patients,10.1002/da.23108,data/pdfs/REFINE-0045.pdf,publisher_403,none,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/da.23108,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0048,Sex differences of gray matter morphology in cortico-limbic-striatal neural system in major depressive disorder,10.1016/j.jpsychires.2013.02.003,data/pdfs/REFINE-0048.pdf,pmc_fulltext_no_pdf,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0051,Brain morphometric biomarkers distinguishing unipolar and bipolar depression: A voxel-based morphometry-pattern classification approach,10.1001/jamapsychiatry.2014.1100,data/pdfs/REFINE-0051.pdf,publisher_403,none,https://doi.org/10.1001/jamapsychiatry.2014.1100,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0052,Replication of a hippocampus specific effect of the tescalcin regulating variant rs7294919 on gray matter structure,10.1016/j.euroneuro.2020.03.021,data/pdfs/REFINE-0052.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0054,Association between stressful life events and grey matter volume in the medial prefrontal cortex: A 2-year longitudinal study,10.1002/hbm.25869,data/pdfs/REFINE-0054.pdf,publisher_403,none,https://doi.org/10.1002/hbm.25869,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0055,Alexithymia is related to differences in gray matter volume: A voxel-based morphometry study,10.1016/j.brainres.2012.10.044,data/pdfs/REFINE-0055.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0056,Gray and white matter abnormalities in major depressive disorder patients and its associations with childhood adversity,10.1016/j.jad.2023.02.145,data/pdfs/REFINE-0056.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0057,Convergent molecular and structural neuroimaging signatures of first-episode depression,10.1016/j.jad.2022.09.132,data/pdfs/REFINE-0057.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0058,NCAN cross-disorder risk variant is associated with limbic gray matter deficits in healthy subjects and major depression,10.1038/npp.2015.86,data/pdfs/REFINE-0058.pdf,invalid_pdf,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0059,Aberrant Prefrontal-Thalamic-Cerebellar Circuit in Schizophrenia and Depression: Evidence from a Possible Causal Connectivity,10.1142/s0129065718500326,data/pdfs/REFINE-0059.pdf,publisher_403,none,https://doi.org/10.1142/s0129065718500326,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0060,Disadvantage of Social Sensitivity: Interaction of Oxytocin Receptor Genotype and Child Maltreatment on Brain Structure,10.1016/j.biopsych.2015.12.010,data/pdfs/REFINE-0060.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0061,Decreased regional gray matter volume in S’ allele carriers of the 5-HTTLPR triallelic polymorphism,10.1038/mp.2010.112,data/pdfs/REFINE-0061.pdf,invalid_pdf,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0062,Brain structural correlates of alexithymia in patients with major depressive disorder,10.1503/jpn.190044,data/pdfs/REFINE-0062.pdf,publisher_403,none,https://doi.org/10.1503/jpn.190044,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0063,Childhood maltreatment moderates the influence of genetic load for obesity on reward related brain structure and function in major depression,10.1016/j.psyneuen.2018.09.027,data/pdfs/REFINE-0063.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0065,Grey matter volume abnormalities in patients with bipolar I depressive disorder and unipolar depressive disorder: A voxel-based morphometry study,10.1007/s12264-014-1485-5,data/pdfs/REFINE-0065.pdf,pmc_fulltext_no_pdf,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0066,Childhood maltreatment is associated with gray matter volume abnormalities in patients with first-episode depression,10.1016/j.pscychresns.2017.07.005,data/pdfs/REFINE-0066.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0067,Are you gonna leave me? Separation anxiety is associated with increased amygdala responsiveness and volume,10.1093/scan/nsu055,data/pdfs/REFINE-0067.pdf,publisher_403,none,https://academic.oup.com/scan/article-pdf/10/2/278/27101237/nsu055.pdf,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0069,Interaction of recent stressful life events and childhood abuse on orbitofrontal grey matter volume in adults with depression,10.1016/j.jad.2022.06.050,data/pdfs/REFINE-0069.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0070,Association of a SIRT1 polymorphism with changes of gray matter volume in patients with first-episode medication-naïve major depression,10.1016/j.pscychresns.2020.111101,data/pdfs/REFINE-0070.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0073,Limbic scars: Long-term consequences of childhood maltreatment revealed by functional and structural magnetic resonance imaging,10.1016/j.biopsych.2011.10.021,data/pdfs/REFINE-0073.pdf,publisher_403,none,http://www.biologicalpsychiatryjournal.com/article/S0006322311010213/pdf,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0075,Gray matter volumetric correlates of the polygenic risk of depression: A study of the Human Connectome Project data,10.1016/j.euroneuro.2024.06.004,data/pdfs/REFINE-0075.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0076,Anatomical brain difference of subthreshold depression in young and middle-aged individuals,10.1016/j.nicl.2017.02.022,data/pdfs/REFINE-0076.pdf,publisher_403,none,https://doaj.org/article/cb598ab4a0bf42638ed0097b2ca19585,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0077,Larger amygdala volume in first-degree relatives of patients with major depression,10.1016/j.nicl.2014.05.015,data/pdfs/REFINE-0077.pdf,publisher_403,none,https://doaj.org/article/16ee4742fbdc4bdb9d8c0ff7b797f338,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0078,Common and distinct abnormal frontal-limbic system structural and functional patterns in patients with major depression and bipolar disorder,10.1016/j.nicl.2018.07.002,data/pdfs/REFINE-0078.pdf,publisher_403,none,https://doaj.org/article/7c6a48ce9ae44df58959e91fcc258663,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0079,Prefrontal cortical abnormalities in currently depressed versus currently remitted patients with major depressive disorder,10.1016/j.neuroimage.2010.11.011,data/pdfs/REFINE-0079.pdf,pmc_fulltext_no_pdf,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0080,Structural brain abnormalities in multiple sclerosis patients with major depression,10.1212/01.wnl.0000110316.12086.0c,data/pdfs/REFINE-0080.pdf,publisher_403,none,https://doi.org/10.1212/01.wnl.0000110316.12086.0c,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0081,Biobehavioral threat sensitivity and amygdala volume: A twin neuroimaging study,10.1016/j.neuroimage.2018.10.065,data/pdfs/REFINE-0081.pdf,publisher_403,none,https://www.sciencedirect.com/science/article/am/pii/S1053811918320378,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0083,Correlation between neurochemical metabolism and memory function in adolescent patients with depression: A multi‐voxel 1H magnetic resonance spectroscopy study,10.1111/pcn.12372,data/pdfs/REFINE-0083.pdf,publisher_403,none,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/pcn.12372,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0084,The relationship of anxious and depressive symptoms in Parkinson’s disease with voxel-based neuroanatomical and functional connectivity measures,10.1016/j.jad.2018.10.364,data/pdfs/REFINE-0084.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0085,Depressive disorder–associated microglia as a target for a personalized antidepressant approach,10.1016/j.biopsych.2023.07.002,data/pdfs/REFINE-0085.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0086,Depressogenic self-schemas are associated with smaller regional grey matter volume in never-depressed preadolescents,10.1016/j.nicl.2020.102422,data/pdfs/REFINE-0086.pdf,publisher_403,none,https://www.sciencedirect.com/science/article/pii/S221315822030259X?via%3Dihub,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0087,Elevated amygdala perfusion mediates developmental sex differences in trait anxiety,10.1016/j.biopsych.2016.04.021,data/pdfs/REFINE-0087.pdf,pmc_fulltext_no_pdf,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0089,The D-allele of ACE insertion/deletion polymorphism is associated with regional white matter volume changes and cognitive impairment in remitted geriatric depression,10.1016/j.neulet.2010.05.076,data/pdfs/REFINE-0089.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
REFINE-0090,Comparison of regional gray matter volume abnormalities in Alzheimer’s disease and late life depression with hippocampal atrophy using VSRAD analysis: A voxel-based morphometry study,10.1016/j.pscychresns.2015.01.018,data/pdfs/REFINE-0090.pdf,landing_page_unresolved,none,,,0.0,,missing_pdf,PDF file not found on disk
