refine_id,doi,status,source_pdf,target_pdf,bytes,mapping_source_csv,note
REFINE-0001,10.1016/j.jad.2023.05.068,not_found_in_zotero,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/pdfs/REFINE-0001.pdf,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/input/eligible_studies.csv,zotero_attachment_missing
REFINE-0002,10.1007/s10072-023-07224-7,not_found_in_zotero,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/pdfs/REFINE-0002.pdf,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/input/eligible_studies.csv,zotero_attachment_missing
REFINE-0003,10.3109/13651501.2016.1144772,already_exists,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/pdfs/REFINE-0003.pdf,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/input/eligible_studies.csv,zotero_attachment_missing
REFINE-0004,10.1016/j.nicl.2014.01.001,already_exists,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/pdfs/REFINE-0004.pdf,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/input/eligible_studies.csv,zotero_attachment_missing
REFINE-0005,10.1016/j.neuroimage.2009.03.005,already_exists,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/pdfs/REFINE-0005.pdf,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/input/eligible_studies.csv,
REFINE-0006,10.1016/j.psyneuen.2014.10.001,not_found_in_zotero,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/pdfs/REFINE-0006.pdf,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/input/eligible_studies.csv,zotero_attachment_missing
REFINE-0007,10.1016/j.cortex.2014.02.017,not_found_in_zotero,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/pdfs/REFINE-0007.pdf,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/input/eligible_studies.csv,zotero_attachment_missing
REFINE-0008,10.1016/j.euroneuro.2015.12.036,not_found_in_zotero,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/pdfs/REFINE-0008.pdf,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/input/eligible_studies.csv,zotero_attachment_missing
REFINE-0009,10.1016/j.jad.2020.10.071,not_found_in_zotero,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/pdfs/REFINE-0009.pdf,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/input/eligible_studies.csv,zotero_attachment_missing
REFINE-0010,10.1016/j.jad.2020.01.135,not_found_in_zotero,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/pdfs/REFINE-0010.pdf,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/input/eligible_studies.csv,zotero_attachment_missing
REFINE-0011,10.1016/j.pnpbp.2021.110337,not_found_in_zotero,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/pdfs/REFINE-0011.pdf,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/input/eligible_studies.csv,zotero_attachment_missing
REFINE-0012,10.1016/j.jad.2015.09.049,not_found_in_zotero,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/pdfs/REFINE-0012.pdf,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/input/eligible_studies.csv,zotero_attachment_missing
REFINE-0013,10.1016/j.neuropsychologia.2015.11.012,not_found_in_zotero,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/pdfs/REFINE-0013.pdf,,/Users/micheles/Desktop/Temp/sshfs_2/home/micheles/Desktop/Vigilate/agent_yoda/workspaces/ReFiNe/ReFiNe_Hub/data/input/eligible_studies.csv,zotero_attachment_missing
