paper_id,paper,doi,doi_url,year,title
REFINE-0001,"Wang, Y., Yan, Y., Wei, J., Yang, X., Wang, M., Zhao, L., Dou, Y., Du, Y., Wang, Q., & Ma, X. (2023). Down-regulated miR-16-2 in peripheral blood is positively correlated with decreased bilateral insula volume in patients with major depressive disorder. Journal of Affective Disorders, 338, 137–143. https://doi.org/10.1016/j.jad.2023.05.068",10.1016/j.jad.2023.05.068,https://doi.org/10.1016/j.jad.2023.05.068,2023,Down-regulated miR-16-2 in peripheral blood is positively correlated with decreased bilateral insula volume in patients with major depressive disorder
REFINE-0002,"Li, J., Wang, X., Liu, M., Yin, Y., Wu, Y., Xu, G., & Ma, X. (2024). Sex-specific grey matter abnormalities in individuals with chronic insomnia. Neurological Sciences, 45(5), 2301–2310. https://doi.org/10.1007/s10072-023-07224-7",10.1007/s10072-023-07224-7,https://doi.org/10.1007/s10072-023-07224-7,2024,Sex-specific grey matter abnormalities in individuals with chronic insomnia
REFINE-0003,"Hirakawa, H., Akiyoshi, J., Muronaga, M., Tanaka, Y., Ishitobi, Y., Inoue, A., Oshita, H., Aizawa, S., Masuda, K., Higuma, H., Kanehisa, M., Ninomiya, T., & Kawano, Y. (2016). FKBP5 is associated with amygdala volume in the human brain and mood state: A voxel-based morphometry (VBM) study. International Journal of Psychiatry in Clinical Practice, 20(2), 106–115. https://doi.org/10.3109/13651501.2016.1144772",10.3109/13651501.2016.1144772,https://doi.org/10.3109/13651501.2016.1144772,2016,FKBP5 is associated with amygdala volume in the human brain and mood state: A voxel-based morphometry (VBM) study
REFINE-0004,"Walsh, N. D., Dalgleish, T., Lombardo, M. v., Dunn, V. J., van Harmelen, A. L., Ban, M., & Goodyer, I. M. (2014). General and specific effects of early-life psychosocial adversities on adolescent grey matter volume. NeuroImage: Clinical, 4, 308–318. https://doi.org/10.1016/j.nicl.2014.01.001",10.1016/j.nicl.2014.01.001,https://doi.org/10.1016/j.nicl.2014.01.001,2014,General and specific effects of early-life psychosocial adversities on adolescent grey matter volume
REFINE-0005,"Tomoda, A., Suzuki, H., Rabi, K., Sheu, Y.-S., Polcari, A., & Teicher, M. H. (2009b). Reduced prefrontal cortical gray matter volume in young adults exposed to harsh corporal punishment. NeuroImage, 47(Suppl 2), T66–T71. https://doi.org/10.1016/j.neuroimage.2009.03.005",10.1016/j.neuroimage.2009.03.005,https://doi.org/10.1016/j.neuroimage.2009.03.005,2009,Reduced prefrontal cortical gray matter volume in young adults exposed to harsh corporal punishment
REFINE-0006,"Opel, N., Redlich, R., Grotegerd, D., Dohm, K., Heindel, W., Kugel, H., Arolt, V., & Dannlowski, U. (2015a). Obesity and major depression: Body-mass index (BMI) is associated with a severe course of disease and specific neurostructural alterations. Psychoneuroendocrinology, 51, 219–226. https://doi.org/10.1016/j.psyneuen.2014.10.001",10.1016/j.psyneuen.2014.10.001,https://doi.org/10.1016/j.psyneuen.2014.10.001,2015,Obesity and major depression: Body-mass index (BMI) is associated with a severe course of disease and specific neurostructural alterations
REFINE-0007,"van der Velde, J., van Tol, M.-J., Goerlich-Dobre, K. S., Gromann, P. M., Swart, M., de Haan, L., Wiersma, D., Bruggeman, R., Krabbendam, L., & Aleman, A. (2014b). Dissociable morphometric profiles of the affective and cognitive dimensions of alexithymia. Cortex: A Journal Devoted to the Study of the Nervous System and Behavior, 54, 190–199. https://doi.org/10.1016/j.cortex.2014.02.017",10.1016/j.cortex.2014.02.017,https://doi.org/10.1016/j.cortex.2014.02.017,2014,Dissociable morphometric profiles of the affective and cognitive dimensions of alexithymia
REFINE-0008,"Sartorius, A., Demirakca, T., Böhringer, A., Clemm von Hohenberg, C., Aksay, S. S., Bumb, J. M., Kranaster, L., & Ende, G. (2016a). Electroconvulsive therapy increases temporal gray matter volume and cortical thickness. European Neuropsychopharmacology, 26(3), 506–517. https://doi.org/10.1016/j.euroneuro.2015.12.036",10.1016/j.euroneuro.2015.12.036,https://doi.org/10.1016/j.euroneuro.2015.12.036,2016,Electroconvulsive therapy increases temporal gray matter volume and cortical thickness
REFINE-0009,"Heyman-Kantor, R., Rizk, M., Sublette, M. E., Rubin-Falcone, H., Fard, Y. Y., Burke, A. K., Oquendo, M. A., Sullivan, G. M., Milak, M. S., Zanderigo, F., Mann, J. J., & Miller, J. M. (2021b). Examining the relationship between gray matter volume and a continuous measure of bipolarity in unmedicated unipolar and bipolar depression. Journal of Affective Disorders, 280(Part A), 105–113. https://doi.org/10.1016/j.jad.2020.10.071",10.1016/j.jad.2020.10.071,https://doi.org/10.1016/j.jad.2020.10.071,2021,Examining the relationship between gray matter volume and a continuous measure of bipolarity in unmedicated unipolar and bipolar depression
REFINE-0010,"Zhang, T., Zhao, B., Shi, C., Nie, B., Liu, H., Yang, X., Sun, Y., Li, P., Lin, L., Yang, X., Li, J., Gao, X., Feng, S., Li, X., Sun, X., Pan, T., Feng, T., Bao, T., & Shan, B. (2020b). Subthreshold depression may exist on a spectrum with major depressive disorder: Evidence from gray matter volume and morphological brain network. Journal of Affective Disorders, 266, 243–251. https://doi.org/10.1016/j.jad.2020.01.135",10.1016/j.jad.2020.01.135,https://doi.org/10.1016/j.jad.2020.01.135,2020,Subthreshold depression may exist on a spectrum with major depressive disorder: Evidence from gray matter volume and morphological brain network
