paper_id,title,doi,openalex_id,semantic_scholar_id,pmid,pmcid,pubmed_url,pmc_url,status,source_used,pdf_path,landing_page_url,pdf_url,oa_status,license,error_message,secondary_status,secondary_error_message
REFINE-0001,Down-regulated miR-16-2 in peripheral blood is positively correlated with decreased bilateral insula volume in patients with major depressive disorder,10.1016/j.jad.2023.05.068,https://openalex.org/W4378417519,e84d0b40be5b7deffb46736b46dbf001b309fe5f,,,,,landing_page_unresolved,none,data/pdfs/REFINE-0001.pdf,https://doi.org/10.1016/j.jad.2023.05.068,,closed,,DOI landing page unresolved,pubmed_not_found,No PubMed/PMC record found from DOI/title
REFINE-0002,Sex-specific grey matter abnormalities in individuals with chronic insomnia,10.1007/s10072-023-07224-7,https://openalex.org/W4389483173,7d901a2e55c85304763d4798b763873e1325d4ea,,,,,landing_page_unresolved,none,data/pdfs/REFINE-0002.pdf,https://doi.org/10.1007/s10072-023-07224-7,,closed,,DOI landing page unresolved,pubmed_not_found,No PubMed/PMC record found from DOI/title
REFINE-0003,FKBP5 is associated with amygdala volume in the human brain and mood state: A voxel-based morphometry (VBM) study,10.3109/13651501.2016.1144772,,,,,,,already_exists,already_exists,data/pdfs/REFINE-0003.pdf,,,,,,,
REFINE-0004,General and specific effects of early-life psychosocial adversities on adolescent grey matter volume,10.1016/j.nicl.2014.01.001,https://openalex.org/W2074951836,,,,,,downloaded,openalex,data/pdfs/REFINE-0004.pdf,,https://www.repository.cam.ac.uk/bitstreams/cc1420fa-539e-49cd-b0fe-9521f1ecf370/download,gold,cc-by,,,
REFINE-0005,Reduced prefrontal cortical gray matter volume in young adults exposed to harsh corporal punishment,10.1016/j.neuroimage.2009.03.005,https://openalex.org/W2073983299,404be4905082d365eb21d1d8c815ec3de39f752d,19285558,PMC2896871,https://pubmed.ncbi.nlm.nih.gov/19285558/,https://pmc.ncbi.nlm.nih.gov/articles/PMC2896871/,publisher_403,none,data/pdfs/REFINE-0005.pdf,,http://www.sciencedirect.com/science?_ob=ArticleURL&amp;_udi=B6WNP-4VTKKS6-4&amp;_user=4545557&amp;_coverDate=08%2F31%2F2009&amp;_rdoc=1&amp;_fmt=high&amp;_orig=search&amp;_sort=d&amp;_docanchor=&amp;view=c&amp;_acct=C000008298&amp;_version=1&amp;_urlVersion=0&amp;_userid=4545557&amp;md5=c78064424740a38e312237b2b1da90c2,green,cc-by-nc-nd,Publisher HTTP 403: www.sciencedirect.com,pmc_fulltext_no_pdf,PMC full-text available but no downloadable PDF
REFINE-0006,Obesity and major depression: Body-mass index (BMI) is associated with a severe course of disease and specific neurostructural alterations,10.1016/j.psyneuen.2014.10.001,https://openalex.org/W2168200555,a5dd8686ccb739f70e89a34a5aebaa342bf10b57,,,,,landing_page_unresolved,none,data/pdfs/REFINE-0006.pdf,https://doi.org/10.1016/j.psyneuen.2014.10.001,,closed,,DOI landing page unresolved,pubmed_not_found,No PubMed/PMC record found from DOI/title
REFINE-0007,Dissociable morphometric profiles of the affective and cognitive dimensions of alexithymia,10.1016/j.cortex.2014.02.017,https://openalex.org/W2163872892,6affdc8b22229539471fab3e5e19c94c30d36acf,,,,,repository_landing_page,none,data/pdfs/REFINE-0007.pdf,https://hdl.handle.net/1871.1/03deab80-608f-49c6-80a8-5eb0ff0fcbf5,,closed,,Repository landing page unresolved,pubmed_not_found,No PubMed/PMC record found from DOI/title
REFINE-0008,Electroconvulsive therapy increases temporal gray matter volume and cortical thickness,10.1016/j.euroneuro.2015.12.036,https://openalex.org/W2209613436,cbf02ef551f20e580dac3a8c91bdb8057e635d05,,,,,landing_page_unresolved,none,data/pdfs/REFINE-0008.pdf,https://doi.org/10.1016/j.euroneuro.2015.12.036,,closed,,DOI landing page unresolved,pubmed_not_found,No PubMed/PMC record found from DOI/title
REFINE-0009,Examining the relationship between gray matter volume and a continuous measure of bipolarity in unmedicated unipolar and bipolar depression,10.1016/j.jad.2020.10.071,https://openalex.org/W3097938891,31a6380ac9e309fdc1eedcaa89085b30647c6f71,33207282,PMC12312762,https://pubmed.ncbi.nlm.nih.gov/33207282/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12312762/,pmc_fulltext_no_pdf,none,data/pdfs/REFINE-0009.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/12312762,,closed,,PMC full-text available as HTML; no downloadable PDF link found,pmc_fulltext_no_pdf,PMC full-text available but no downloadable PDF
REFINE-0010,Subthreshold depression may exist on a spectrum with major depressive disorder: Evidence from gray matter volume and morphological brain network,10.1016/j.jad.2020.01.135,https://openalex.org/W3000858694,40698349659078e3ba83a4e24340421c2698e281,,,,,landing_page_unresolved,none,data/pdfs/REFINE-0010.pdf,https://doi.org/10.1016/j.jad.2020.01.135,,closed,,DOI landing page unresolved,pubmed_not_found,No PubMed/PMC record found from DOI/title
